category_id,class,family,genus,kingdom,name,order,phylum,supercategory
6085,Magnoliopsida,Asteraceae,Senecio,Plantae,Senecio lautus,Asterales,Magnoliophyta,Plantae
7316,Magnoliopsida,Passifloraceae,Passiflora,Plantae,Passiflora incarnata,Malpighiales,Magnoliophyta,Plantae
6980,Magnoliopsida,Rubiaceae,Mitchella,Plantae,Mitchella repens,Gentianales,Magnoliophyta,Plantae
7008,Magnoliopsida,Bignoniaceae,Campsis,Plantae,Campsis radicans,Lamiales,Magnoliophyta,Plantae
7210,Magnoliopsida,Plantaginaceae,Veronica,Plantae,Veronica stricta,Lamiales,Magnoliophyta,Plantae
6495,Magnoliopsida,Cornaceae,Cornus,Plantae,Cornus drummondii,Cornales,Magnoliophyta,Plantae
6816,Magnoliopsida,Fabaceae,Vicia,Plantae,Vicia villosa,Fabales,Magnoliophyta,Plantae
7496,Magnoliopsida,Berberidaceae,Podophyllum,Plantae,Podophyllum peltatum,Ranunculales,Magnoliophyta,Plantae
7512,Magnoliopsida,Papaveraceae,Eschscholzia,Plantae,Eschscholzia californica,Ranunculales,Magnoliophyta,Plantae
6068,Magnoliopsida,Asteraceae,Rudbeckia,Plantae,Rudbeckia hirta,Asterales,Magnoliophyta,Plantae
7028,Magnoliopsida,Lamiaceae,Galeopsis,Plantae,Galeopsis bifida,Lamiales,Magnoliophyta,Plantae
6612,Magnoliopsida,Ericaceae,Vaccinium,Plantae,Vaccinium parvifolium,Ericales,Magnoliophyta,Plantae
6212,Magnoliopsida,Boraginaceae,Myosotis,Plantae,Myosotis discolor,Boraginales,Magnoliophyta,Plantae
7646,Magnoliopsida,Rosaceae,Holodiscus,Plantae,Holodiscus discolor,Rosales,Magnoliophyta,Plantae
6213,Magnoliopsida,Boraginaceae,Myosotis,Plantae,Myosotis laxa,Boraginales,Magnoliophyta,Plantae
6821,Magnoliopsida,Betulaceae,Alnus,Plantae,Alnus rhombifolia,Fagales,Magnoliophyta,Plantae
7539,Magnoliopsida,Ranunculaceae,Caltha,Plantae,Caltha palustris,Ranunculales,Magnoliophyta,Plantae
6425,Magnoliopsida,Montiaceae,Claytonia,Plantae,Claytonia virginica,Caryophyllales,Magnoliophyta,Plantae
5855,Magnoliopsida,Asteraceae,Balsamorhiza,Plantae,Balsamorhiza sagittata,Asterales,Magnoliophyta,Plantae
5178,Agaricomycetes,Meruliaceae,Podoscypha,Fungi,Podoscypha petalodes,Polyporales,Basidiomycota,Fungi
6603,Magnoliopsida,Ericaceae,Rhododendron,Plantae,Rhododendron groenlandicum,Ericales,Magnoliophyta,Plantae
5888,Magnoliopsida,Asteraceae,Chaenactis,Plantae,Chaenactis glabriuscula,Asterales,Magnoliophyta,Plantae
5734,Magnoliopsida,Apiaceae,Eryngium,Plantae,Eryngium hookeri,Apiales,Magnoliophyta,Plantae
6506,Magnoliopsida,Loasaceae,Mentzelia,Plantae,Mentzelia albicaulis,Cornales,Magnoliophyta,Plantae
7720,Magnoliopsida,Urticaceae,Urtica,Plantae,Urtica dioica,Rosales,Magnoliophyta,Plantae
7451,Magnoliopsida,Nymphaeaceae,Nymphaea,Plantae,Nymphaea odorata,Nymphaeales,Magnoliophyta,Plantae
5243,Equisetopsida,Equisetaceae,Equisetum,Plantae,Equisetum laevigatum,Equisetales,Equisetophyta,Plantae
7151,Magnoliopsida,Phrymaceae,Mimulus,Plantae,Mimulus kelloggii,Lamiales,Magnoliophyta,Plantae
7662,Magnoliopsida,Rosaceae,Prunus,Plantae,Prunus dulcis,Rosales,Magnoliophyta,Plantae
6362,Magnoliopsida,Cactaceae,Opuntia,Plantae,Opuntia decumbens,Caryophyllales,Magnoliophyta,Plantae
7885,Magnoliopsida,Solanaceae,Solanum,Plantae,Solanum dulcamara,Solanales,Magnoliophyta,Plantae
5309,Liliopsida,Asparagaceae,Agave,Plantae,Agave palmeri,Asparagales,Magnoliophyta,Plantae
5774,Magnoliopsida,Araliaceae,Hedera,Plantae,Hedera helix,Apiales,Magnoliophyta,Plantae
5850,Magnoliopsida,Asteraceae,Baccharis,Plantae,Baccharis pilularis,Asterales,Magnoliophyta,Plantae
5740,Magnoliopsida,Apiaceae,Foeniculum,Plantae,Foeniculum vulgare,Apiales,Magnoliophyta,Plantae
6851,Magnoliopsida,Fagaceae,Quercus,Plantae,Quercus kelloggii,Fagales,Magnoliophyta,Plantae
8114,Polypodiopsida,Salviniaceae,Azolla,Plantae,Azolla rubra,Salviniales,Pteridophyta,Plantae
7145,Magnoliopsida,Phrymaceae,Mimulus,Plantae,Mimulus aurantiacus,Lamiales,Magnoliophyta,Plantae
7935,Pinopsida,Cupressaceae,Sequoia,Plantae,Sequoia sempervirens,Pinales,Pinophyta,Plantae
5597,Liliopsida,Cyperaceae,Cyperus,Plantae,Cyperus echinatus,Poales,Magnoliophyta,Plantae
6804,Magnoliopsida,Fabaceae,Trifolium,Plantae,Trifolium repens,Fabales,Magnoliophyta,Plantae
6709,Magnoliopsida,Fabaceae,Cercis,Plantae,Cercis canadensis,Fabales,Magnoliophyta,Plantae
7597,Magnoliopsida,Rhamnaceae,Ceanothus,Plantae,Ceanothus integerrimus,Rosales,Magnoliophyta,Plantae
6033,Magnoliopsida,Asteraceae,Oncosiphon,Plantae,Oncosiphon piluliferum,Asterales,Magnoliophyta,Plantae
4942,Lecanoromycetes,Ramalinaceae,Niebla,Fungi,Niebla homalea,Lecanorales,Ascomycota,Fungi
5915,Magnoliopsida,Asteraceae,Deinandra,Plantae,Deinandra fasciculata,Asterales,Magnoliophyta,Plantae
6301,Magnoliopsida,Amaranthaceae,Chenopodium,Plantae,Chenopodium murale,Caryophyllales,Magnoliophyta,Plantae
7463,Magnoliopsida,Oxalidaceae,Oxalis,Plantae,Oxalis pes-caprae,Oxalidales,Magnoliophyta,Plantae
5139,Agaricomycetes,Clavulinaceae,Clavulina,Fungi,Clavulina cristata,Cantharellales,Basidiomycota,Fungi
5571,Liliopsida,Cyperaceae,Carex,Plantae,Carex aurea,Poales,Magnoliophyta,Plantae
5064,Agaricomycetes,Mycenaceae,Sarcomyxa,Fungi,Sarcomyxa serotina,Agaricales,Basidiomycota,Fungi
5462,Liliopsida,Orchidaceae,Platanthera,Plantae,Platanthera bifolia,Asparagales,Magnoliophyta,Plantae
5343,Liliopsida,Asparagaceae,Maianthemum,Plantae,Maianthemum canadense,Asparagales,Magnoliophyta,Plantae
6848,Magnoliopsida,Fagaceae,Quercus,Plantae,Quercus havardii,Fagales,Magnoliophyta,Plantae
8067,Polypodiopsida,Dryopteridaceae,Polystichum,Plantae,Polystichum munitum,Polypodiales,Pteridophyta,Plantae
7246,Magnoliopsida,Lauraceae,Umbellularia,Plantae,Umbellularia californica,Laurales,Magnoliophyta,Plantae
5285,Liliopsida,Arecaceae,Sabal,Plantae,Sabal mexicana,Arecales,Magnoliophyta,Plantae
6983,Magnoliopsida,Rubiaceae,Psychotria,Plantae,Psychotria poeppigiana,Gentianales,Magnoliophyta,Plantae
6439,Magnoliopsida,Phytolaccaceae,Rivina,Plantae,Rivina humilis,Caryophyllales,Magnoliophyta,Plantae
6795,Magnoliopsida,Fabaceae,Strophostyles,Plantae,Strophostyles umbellata,Fabales,Magnoliophyta,Plantae
7084,Magnoliopsida,Lamiaceae,Trichostema,Plantae,Trichostema lanceolatum,Lamiales,Magnoliophyta,Plantae
7804,Magnoliopsida,Grossulariaceae,Ribes,Plantae,Ribes uva-crispa,Saxifragales,Magnoliophyta,Plantae
6270,Magnoliopsida,Brassicaceae,Raphanus,Plantae,Raphanus sativus,Brassicales,Magnoliophyta,Plantae
5345,Liliopsida,Asparagaceae,Maianthemum,Plantae,Maianthemum racemosum,Asparagales,Magnoliophyta,Plantae
7763,Magnoliopsida,Sapindaceae,Acer,Plantae,Acer rubrum,Sapindales,Magnoliophyta,Plantae
6899,Magnoliopsida,Apocynaceae,Asclepias,Plantae,Asclepias linearis,Gentianales,Magnoliophyta,Plantae
5780,Magnoliopsida,Araliaceae,Panax,Plantae,Panax trifolius,Apiales,Magnoliophyta,Plantae
7150,Magnoliopsida,Phrymaceae,Mimulus,Plantae,Mimulus guttatus,Lamiales,Magnoliophyta,Plantae
7717,Magnoliopsida,Urticaceae,Parietaria,Plantae,Parietaria officinalis,Rosales,Magnoliophyta,Plantae
8063,Polypodiopsida,Dryopteridaceae,Polystichum,Plantae,Polystichum acrostichoides,Polypodiales,Pteridophyta,Plantae
7251,Magnoliopsida,Magnoliaceae,Liriodendron,Plantae,Liriodendron tulipifera,Magnoliales,Magnoliophyta,Plantae
7593,Magnoliopsida,Moraceae,Maclura,Plantae,Maclura pomifera,Rosales,Magnoliophyta,Plantae
5429,Liliopsida,Orchidaceae,Earina,Plantae,Earina mucronata,Asparagales,Magnoliophyta,Plantae
5851,Magnoliopsida,Asteraceae,Baccharis,Plantae,Baccharis salicifolia,Asterales,Magnoliophyta,Plantae
6117,Magnoliopsida,Asteraceae,Symphyotrichum,Plantae,Symphyotrichum chilense,Asterales,Magnoliophyta,Plantae
5554,Liliopsida,Smilacaceae,Smilax,Plantae,Smilax bona-nox,Liliales,Magnoliophyta,Plantae
5083,Agaricomycetes,Schizophyllaceae,Schizophyllum,Fungi,Schizophyllum commune,Agaricales,Basidiomycota,Fungi
7632,Magnoliopsida,Rosaceae,Crataegus,Plantae,Crataegus douglasii,Rosales,Magnoliophyta,Plantae
7708,Magnoliopsida,Rosaceae,Spiraea,Plantae,Spiraea tomentosa,Rosales,Magnoliophyta,Plantae
6559,Magnoliopsida,Balsaminaceae,Impatiens,Plantae,Impatiens capensis,Ericales,Magnoliophyta,Plantae
7625,Magnoliopsida,Rosaceae,Aronia,Plantae,Aronia melanocarpa,Rosales,Magnoliophyta,Plantae
6325,Magnoliopsida,Cactaceae,Cylindropuntia,Plantae,Cylindropuntia cholla,Caryophyllales,Magnoliophyta,Plantae
6253,Magnoliopsida,Brassicaceae,Diplotaxis,Plantae,Diplotaxis tenuifolia,Brassicales,Magnoliophyta,Plantae
7875,Magnoliopsida,Solanaceae,Nicotiana,Plantae,Nicotiana glauca,Solanales,Magnoliophyta,Plantae
7742,Magnoliopsida,Anacardiaceae,Toxicodendron,Plantae,Toxicodendron radicans,Sapindales,Magnoliophyta,Plantae
6680,Magnoliopsida,Fabaceae,Acmispon,Plantae,Acmispon glaber,Fabales,Magnoliophyta,Plantae
7427,Magnoliopsida,Onagraceae,Chylismia,Plantae,Chylismia claviformis,Myrtales,Magnoliophyta,Plantae
6936,Magnoliopsida,Gentianaceae,Gentianopsis,Plantae,Gentianopsis ciliata,Gentianales,Magnoliophyta,Plantae
7598,Magnoliopsida,Rhamnaceae,Ceanothus,Plantae,Ceanothus jepsonii,Rosales,Magnoliophyta,Plantae
7757,Magnoliopsida,Sapindaceae,Acer,Plantae,Acer macrophyllum,Sapindales,Magnoliophyta,Plantae
5907,Magnoliopsida,Asteraceae,Cirsium,Plantae,Cirsium vulgare,Asterales,Magnoliophyta,Plantae
5797,Magnoliopsida,Pittosporaceae,Pittosporum,Plantae,Pittosporum tenuifolium,Apiales,Magnoliophyta,Plantae
6840,Magnoliopsida,Fagaceae,Quercus,Plantae,Quercus alba,Fagales,Magnoliophyta,Plantae
5831,Magnoliopsida,Asteraceae,Arctium,Plantae,Arctium tomentosum,Asterales,Magnoliophyta,Plantae
7395,Magnoliopsida,Malvaceae,Tilia,Plantae,Tilia americana,Malvales,Magnoliophyta,Plantae
8116,Polypodiopsida,Schizaeaceae,Schizaea,Plantae,Schizaea dichotoma,Schizaeales,Pteridophyta,Plantae
6803,Magnoliopsida,Fabaceae,Trifolium,Plantae,Trifolium pratense,Fabales,Magnoliophyta,Plantae
8056,Polypodiopsida,Dryopteridaceae,Dryopteris,Plantae,Dryopteris fragrans,Polypodiales,Pteridophyta,Plantae
6956,Magnoliopsida,Rubiaceae,Coprosma,Plantae,Coprosma linariifolia,Gentianales,Magnoliophyta,Plantae
7498,Magnoliopsida,Lardizabalaceae,Akebia,Plantae,Akebia quinata,Ranunculales,Magnoliophyta,Plantae
6283,Magnoliopsida,Buxaceae,Buxus,Plantae,Buxus sempervirens,Buxales,Magnoliophyta,Plantae
6909,Magnoliopsida,Apocynaceae,Asclepias,Plantae,Asclepias syriaca,Gentianales,Magnoliophyta,Plantae
6982,Magnoliopsida,Rubiaceae,Psychotria,Plantae,Psychotria nervosa,Gentianales,Magnoliophyta,Plantae
5189,Agaricomycetes,Polyporaceae,Polyporus,Fungi,Polyporus squamosus,Polyporales,Basidiomycota,Fungi
5491,Liliopsida,Commelinaceae,Commelina,Plantae,Commelina erecta,Commelinales,Magnoliophyta,Plantae
5515,Liliopsida,Liliaceae,Calochortus,Plantae,Calochortus monophyllus,Liliales,Magnoliophyta,Plantae
6108,Magnoliopsida,Asteraceae,Solidago,Plantae,Solidago ulmifolia,Asterales,Magnoliophyta,Plantae
5679,Liliopsida,Poaceae,Oryzopsis,Plantae,Oryzopsis asperifolia,Poales,Magnoliophyta,Plantae
6461,Magnoliopsida,Polygonaceae,Fallopia,Plantae,Fallopia japonica,Caryophyllales,Magnoliophyta,Plantae
7656,Magnoliopsida,Rosaceae,Potentilla,Plantae,Potentilla indica,Rosales,Magnoliophyta,Plantae
7741,Magnoliopsida,Anacardiaceae,Toxicodendron,Plantae,Toxicodendron diversilobum,Sapindales,Magnoliophyta,Plantae
6881,Magnoliopsida,Apocynaceae,Amsonia,Plantae,Amsonia ciliata,Gentianales,Magnoliophyta,Plantae
5149,Agaricomycetes,Hymenochaetaceae,Porodaedalea,Fungi,Porodaedalea pini,Hymenochaetales,Basidiomycota,Fungi
7046,Magnoliopsida,Lamiaceae,Monarda,Plantae,Monarda citriodora,Lamiales,Magnoliophyta,Plantae
5731,Magnoliopsida,Apiaceae,Daucus,Plantae,Daucus carota,Apiales,Magnoliophyta,Plantae
7972,Pinopsida,Pinaceae,Tsuga,Plantae,Tsuga canadensis,Pinales,Pinophyta,Plantae
5940,Magnoliopsida,Asteraceae,Erigeron,Plantae,Erigeron glaucus,Asterales,Magnoliophyta,Plantae
4955,Lecanoromycetes,Lobariaceae,Lobaria,Fungi,Lobaria pulmonaria,Peltigerales,Ascomycota,Fungi
6843,Magnoliopsida,Fagaceae,Quercus,Plantae,Quercus coccifera,Fagales,Magnoliophyta,Plantae
6161,Magnoliopsida,Asteraceae,Xylorhiza,Plantae,Xylorhiza tortifolia,Asterales,Magnoliophyta,Plantae
5534,Liliopsida,Liliaceae,Medeola,Plantae,Medeola virginiana,Liliales,Magnoliophyta,Plantae
7040,Magnoliopsida,Lamiaceae,Melittis,Plantae,Melittis melissophyllum,Lamiales,Magnoliophyta,Plantae
6017,Magnoliopsida,Asteraceae,Matricaria,Plantae,Matricaria discoidea,Asterales,Magnoliophyta,Plantae
6810,Magnoliopsida,Fabaceae,Vicia,Plantae,Vicia cracca,Fabales,Magnoliophyta,Plantae
6404,Magnoliopsida,Caryophyllaceae,Stellaria,Plantae,Stellaria graminea,Caryophyllales,Magnoliophyta,Plantae
6774,Magnoliopsida,Fabaceae,Onobrychis,Plantae,Onobrychis viciifolia,Fabales,Magnoliophyta,Plantae
6429,Magnoliopsida,Nyctaginaceae,Abronia,Plantae,Abronia latifolia,Caryophyllales,Magnoliophyta,Plantae
6248,Magnoliopsida,Brassicaceae,Cardamine,Plantae,Cardamine concatenata,Brassicales,Magnoliophyta,Plantae
5648,Liliopsida,Poaceae,Chasmanthium,Plantae,Chasmanthium latifolium,Poales,Magnoliophyta,Plantae
5724,Magnoliopsida,Apiaceae,Bifora,Plantae,Bifora americana,Apiales,Magnoliophyta,Plantae
5362,Liliopsida,Asparagaceae,Yucca,Plantae,Yucca brevifolia,Asparagales,Magnoliophyta,Plantae
7218,Magnoliopsida,Scrophulariaceae,Scrophularia,Plantae,Scrophularia marilandica,Lamiales,Magnoliophyta,Plantae
7517,Magnoliopsida,Papaveraceae,Platystemon,Plantae,Platystemon californicus,Ranunculales,Magnoliophyta,Plantae
5405,Liliopsida,Orchidaceae,Calypso,Plantae,Calypso bulbosa,Asparagales,Magnoliophyta,Plantae
8104,Polypodiopsida,Pteridaceae,Pentagramma,Plantae,Pentagramma triangularis,Polypodiales,Pteridophyta,Plantae
7085,Magnoliopsida,Lamiaceae,Warnockia,Plantae,Warnockia scutellarioides,Lamiales,Magnoliophyta,Plantae
7696,Magnoliopsida,Rosaceae,Rubus,Plantae,Rubus schmidelioides,Rosales,Magnoliophyta,Plantae
6217,Magnoliopsida,Boraginaceae,Nemophila,Plantae,Nemophila menziesii,Boraginales,Magnoliophyta,Plantae
7746,Magnoliopsida,Meliaceae,Melia,Plantae,Melia azedarach,Sapindales,Magnoliophyta,Plantae
7788,Magnoliopsida,Crassulaceae,Sedum,Plantae,Sedum dasyphyllum,Saxifragales,Magnoliophyta,Plantae
5519,Liliopsida,Liliaceae,Clintonia,Plantae,Clintonia borealis,Liliales,Magnoliophyta,Plantae
5374,Liliopsida,Asphodelaceae,Phormium,Plantae,Phormium tenax,Asparagales,Magnoliophyta,Plantae
5927,Magnoliopsida,Asteraceae,Elephantopus,Plantae,Elephantopus tomentosus,Asterales,Magnoliophyta,Plantae
5052,Agaricomycetes,Marasmiaceae,Marasmius,Fungi,Marasmius plicatulus,Agaricales,Basidiomycota,Fungi
6837,Magnoliopsida,Fagaceae,Fagus,Plantae,Fagus grandifolia,Fagales,Magnoliophyta,Plantae
7155,Magnoliopsida,Phrymaceae,Mimulus,Plantae,Mimulus tilingii,Lamiales,Magnoliophyta,Plantae
7317,Magnoliopsida,Passifloraceae,Passiflora,Plantae,Passiflora lutea,Malpighiales,Magnoliophyta,Plantae
5249,Lycopodiopsida,Huperziaceae,Phlegmariurus,Plantae,Phlegmariurus varius,Lycopodiales,Lycopodiophyta,Plantae
8004,Polypodiopsida,Osmundaceae,Osmunda,Plantae,Osmunda claytoniana,Osmundales,Pteridophyta,Plantae
6289,Magnoliopsida,Aizoaceae,Tetragonia,Plantae,Tetragonia implexicoma,Caryophyllales,Magnoliophyta,Plantae
5894,Magnoliopsida,Asteraceae,Cichorium,Plantae,Cichorium intybus,Asterales,Magnoliophyta,Plantae
6937,Magnoliopsida,Gentianaceae,Gentianopsis,Plantae,Gentianopsis virgata,Gentianales,Magnoliophyta,Plantae
5733,Magnoliopsida,Apiaceae,Eryngium,Plantae,Eryngium carlinae,Apiales,Magnoliophyta,Plantae
5021,Agaricomycetes,Amanitaceae,Amanita,Fungi,Amanita muscaria,Agaricales,Basidiomycota,Fungi
7789,Magnoliopsida,Crassulaceae,Sedum,Plantae,Sedum nuttallii,Saxifragales,Magnoliophyta,Plantae
7102,Magnoliopsida,Oleaceae,Ligustrum,Plantae,Ligustrum sinense,Lamiales,Magnoliophyta,Plantae
5951,Magnoliopsida,Asteraceae,Eutrochium,Plantae,Eutrochium fistulosum,Asterales,Magnoliophyta,Plantae
7560,Magnoliopsida,Ranunculaceae,Ranunculus,Plantae,Ranunculus abortivus,Ranunculales,Magnoliophyta,Plantae
7941,Pinopsida,Pinaceae,Abies,Plantae,Abies balsamea,Pinales,Pinophyta,Plantae
6494,Magnoliopsida,Cornaceae,Cornus,Plantae,Cornus canadensis,Cornales,Magnoliophyta,Plantae
5963,Magnoliopsida,Asteraceae,Grindelia,Plantae,Grindelia lanceolata,Asterales,Magnoliophyta,Plantae
6766,Magnoliopsida,Fabaceae,Melilotus,Plantae,Melilotus albus,Fabales,Magnoliophyta,Plantae
8100,Polypodiopsida,Pteridaceae,Pellaea,Plantae,Pellaea cordifolia,Polypodiales,Pteridophyta,Plantae
6741,Magnoliopsida,Fabaceae,Lotus,Plantae,Lotus corniculatus,Fabales,Magnoliophyta,Plantae
5787,Magnoliopsida,Araliaceae,Raukaua,Plantae,Raukaua anomalus,Apiales,Magnoliophyta,Plantae
7502,Magnoliopsida,Papaveraceae,Chelidonium,Plantae,Chelidonium majus,Ranunculales,Magnoliophyta,Plantae
7061,Magnoliopsida,Lamiaceae,Salvia,Plantae,Salvia lyrata,Lamiales,Magnoliophyta,Plantae
7062,Magnoliopsida,Lamiaceae,Salvia,Plantae,Salvia mellifera,Lamiales,Magnoliophyta,Plantae
8031,Polypodiopsida,Blechnaceae,Blechnum,Plantae,Blechnum discolor,Polypodiales,Pteridophyta,Plantae
6479,Magnoliopsida,Portulacaceae,Portulaca,Plantae,Portulaca oleracea,Caryophyllales,Magnoliophyta,Plantae
7271,Magnoliopsida,Euphorbiaceae,Ditaxis,Plantae,Ditaxis lanceolata,Malpighiales,Magnoliophyta,Plantae
8097,Polypodiopsida,Pteridaceae,Myriopteris,Plantae,Myriopteris covillei,Polypodiales,Pteridophyta,Plantae
5289,Liliopsida,Amaryllidaceae,Allium,Plantae,Allium campanulatum,Asparagales,Magnoliophyta,Plantae
5766,Magnoliopsida,Apiaceae,Torilis,Plantae,Torilis nodosa,Apiales,Magnoliophyta,Plantae
4946,Lecanoromycetes,Ramalinaceae,Ramalina,Fungi,Ramalina menziesii,Lecanorales,Ascomycota,Fungi
6798,Magnoliopsida,Fabaceae,Thermopsis,Plantae,Thermopsis californica,Fabales,Magnoliophyta,Plantae
5781,Magnoliopsida,Araliaceae,Pseudopanax,Plantae,Pseudopanax arboreus,Apiales,Magnoliophyta,Plantae
7432,Magnoliopsida,Onagraceae,Epilobium,Plantae,Epilobium canum,Myrtales,Magnoliophyta,Plantae
7760,Magnoliopsida,Sapindaceae,Acer,Plantae,Acer pensylvanicum,Sapindales,Magnoliophyta,Plantae
7471,Magnoliopsida,Aristolochiaceae,Endodeca,Plantae,Endodeca serpentaria,Piperales,Magnoliophyta,Plantae
5342,Liliopsida,Asparagaceae,Maianthemum,Plantae,Maianthemum bifolium,Asparagales,Magnoliophyta,Plantae
5283,Liliopsida,Arecaceae,Cocos,Plantae,Cocos nucifera,Arecales,Magnoliophyta,Plantae
5665,Liliopsida,Poaceae,Koeleria,Plantae,Koeleria macrantha,Poales,Magnoliophyta,Plantae
7353,Magnoliopsida,Violaceae,Viola,Plantae,Viola sagittata,Malpighiales,Magnoliophyta,Plantae
8020,Polypodiopsida,Aspleniaceae,Asplenium,Plantae,Asplenium rhizophyllum,Polypodiales,Pteridophyta,Plantae
4928,Lecanoromycetes,Parmeliaceae,Pseudevernia,Fungi,Pseudevernia consocians,Lecanorales,Ascomycota,Fungi
7293,Magnoliopsida,Euphorbiaceae,Euphorbia,Plantae,Euphorbia polygonifolia,Malpighiales,Magnoliophyta,Plantae
5326,Liliopsida,Asparagaceae,Cordyline,Plantae,Cordyline australis,Asparagales,Magnoliophyta,Plantae
